sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
301141982,20,4,1966080,54681,1911399,0,2932,54453,57385
301147253,37,4,1966080,44000,1922080,0,0,1966080,1966080
301160078,31,4,1966080,44147,1921933,0,0,1966080,1966080
301183366,28,4,1966080,43289,1922791,0,3445,53669,57114
301207698,24,4,1966079,47120,1918959,0,4090,54583,58673
301209776,40,4,1966079,78040,1888039,0,5178,60183,65361
360283745,5,5,1966079,56754,1909325,0,3986,55153,59139
360291126,12,5,1966080,43514,1922566,0,0,1966080,1966080
360297405,8,5,1966111,94728,1871383,0,8831,96148,104979
360305430,23,5,1966080,77062,1889018,0,5733,68764,74497
360316575,13,5,1966080,43667,1922413,0,0,1966080,1966080
360320604,16,5,1966087,56236,1909851,0,5337,355552,360889
360341593,25,5,1966080,43514,1922566,0,0,1966080,1966080
360351125,19,5,1966080,43514,1922566,0,0,1966080,1966080
360403085,32,5,1966080,43514,1922566,0,0,1966080,1966080
360408278,38,5,1966079,124279,1841800,0,10016,113385,123401
360451893,7,5,1966080,43925,1922155,0,0,1966080,1966080
360458769,34,5,1966243,109793,1856450,0,12516,104910,117426
360468957,27,5,1966080,43514,1922566,0,0,1966080,1966080
360536543,21,5,1966080,43514,1922566,0,0,1966080,1966080
360602507,36,5,1966080,43514,1922566,0,0,1966080,1966080
360646825,39,5,1966080,43514,1922566,0,0,1966080,1966080
360730427,3,5,1966080,43789,1922291,0,0,1966080,1966080
360759683,22,5,1966087,37443,1928644,0,2906,53652,56558
360786544,11,5,1966080,43770,1922310,0,0,1966080,1966080
360805997,14,5,1966080,63883,1902197,0,5645,74544,80189
360833462,1,5,1966079,1966079,0,0,10512,141956,152468
360866090,26,5,1966078,56482,1909596,0,4916,54716,59632
360875030,41,5,1966080,43754,1922326,0,0,1966080,1966080
360879556,17,5,1966081,36772,1929309,0,28,643046,643074
360923125,33,5,1966080,43514,1922566,0,0,1966080,1966080
360942366,10,5,1966080,43514,1922566,0,0,1966080,1966080
360987534,6,5,1966080,43658,1922422,0,0,1966080,1966080
361074335,35,5,1966080,43514,1922566,0,0,1966080,1966080
361094381,30,5,1966080,96933,1869147,0,7378,93618,100996
361106101,18,5,1966080,43514,1922566,0,0,1966080,1966080
361120475,9,5,1966083,46018,1920065,0,3376,54201,57577
361119935,4,5,1966080,43503,1922577,0,0,1966080,1966080
361124670,15,5,1965712,62330,1903382,0,3035,55039,58074
361126337,2,5,1966081,34439,1931642,0,28,634870,634898
361141982,20,5,1966080,50295,1915785,0,2621,54086,56707
361144170,29,5,1966080,43514,1922566,0,0,1966080,1966080
361147253,37,5,1966080,43514,1922566,0,0,1966080,1966080
361160078,31,5,1966080,43779,1922301,0,0,1966080,1966080
361184534,28,5,1966080,43825,1922255,0,3267,53854,57121
361207707,24,5,1966080,45572,1920508,0,3279,54022,57301
361209775,40,5,1966080,47635,1918445,0,3561,69397,72958
420283183,5,6,1966080,51000,1915080,0,3370,54145,57515
420291127,12,6,1966080,44581,1921499,0,0,1966080,1966080
420299263,8,6,1966141,96366,1869775,0,9106,97122,106228
420305431,23,6,1966080,73127,1892953,0,6214,75898,82112
420316576,13,6,1966080,44043,1922037,0,0,1966080,1966080
420320566,16,6,1966079,69003,1897076,0,5824,64715,70539
420341594,25,6,1966080,43853,1922227,0,0,1966080,1966080
420351126,19,6,1966080,43853,1922227,0,0,1966080,1966080
420403125,32,6,1966081,45327,1920754,0,28,1954183,1954211
420427000,38,6,1966574,99979,1866595,0,9742,112758,122500
