sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
508223188,1,4,3,3140,2766515
508267494,1,22,33,343,315594
508545988,1,31,0,1695,1263740
508582072,1,2,8,523,126832
508662686,1,28,24,625,170117
508849640,1,3,1,2609,2618428
509472237,1,32,5,3359,3693362
509798362,1,33,3,4734,4552476
510102109,1,41,0,3250,3109051
511362413,1,40,18,2929,2456583
512307237,1,14,19,2710,2644899
513567573,1,23,23,2062,2487962
514197392,1,8,23,2359,2798625
518306833,1,30,34,617,259520
518427786,1,26,14,265,127342
518941055,1,17,9,1132,990407
519245001,1,16,13,203,622434
520118230,1,20,34,703,284313
520827905,1,7,8,531,812727
521261967,1,38,34,0,60605
521442168,1,5,18,703,1150434
521577875,1,15,30,1226,842011
521775452,1,9,22,789,404521
522071528,1,34,34,0,159177
522396345,1,32,6,2257,2601844
522413318,1,31,1,937,510262
523332155,1,4,4,3687,3305169
523467828,1,28,25,992,541532
523647306,1,3,2,3078,3080151
523688972,1,2,9,1054,654452
523981234,1,24,22,1156,683174
524017767,1,22,34,132,104929
524277355,1,33,4,3914,3728439
524592501,1,41,1,3687,3544805
526167340,1,11,0,5039,4989329
526808187,1,14,20,1937,1880259
527120342,1,40,19,2921,2457681
527588864,1,8,24,945,1377587
527742388,1,23,24,703,1127437
532484994,1,30,35,531,172056
534093143,1,16,14,546,959335
534106455,1,17,10,1218,1069730
534177351,1,26,15,632,497974
534608347,1,20,35,796,387497
535306155,1,5,19,0,373796
535617249,1,4,5,1757,1371523
535752192,1,15,31,992,610072
536093757,1,3,3,921,925039
536381529,1,38,35,0,269843
536573881,1,7,9,843,1134733
536590858,1,9,23,734,348416
536876500,1,34,35,0,179618
537200283,1,32,7,1343,1679220
537526343,1,31,2,1476,1050045
537669111,1,11,1,1617,1561463
538150791,1,41,2,1765,1634335
538272657,1,28,26,1093,642689
538452622,1,33,5,2789,2598999
538833145,1,2,10,671,276207
539445230,1,22,35,328,305829
540046362,1,24,23,1523,1048858
540657759,1,40,20,1265,787378
540971800,1,23,25,0,134361
541291342,1,8,25,0,259742
541764317,1,14,21,1359,1286299
547917039,1,30,36,570,213439
549098482,1,20,36,757,346316
549171548,1,16,15,585,1006475
549196334,1,17,11,1007,870526
549927285,1,15,32,929,542937
550269040,1,5,20,117,558272
550422225,1,3,4,976,976300
550557773,1,26,16,1132,998645
551186641,1,38,36,0,278064
551213448,1,34,36,0,105768
551375389,1,7,10,1281,1567207
551691473,1,4,6,2945,2570156
551712934,1,31,3,1335,911410
551844163,1,11,2,1304,1252121
552047239,1,9,24,562,179756
552132489,1,28,27,609,159292
552474417,1,32,8,1492,1820521
552627740,1,33,6,1648,1457897
552789400,1,41,3,1812,1671372
553928979,1,22,36,117,94220
554536045,1,24,24,929,452569
554572355,1,2,11,1578,1177598
554994618,1,40,21,1492,1010637
556722049,1,23,26,0,369520
556883580,1,8,26,0,312943
557037718,1,14,22,1031,961337
562722155,1,30,37,515,159211
563967687,1,16,16,281,693228
564218536,1,20,37,593,185154
564301125,1,17,12,773,631073
564732610,1,26,17,687,553242
564912487,1,7,11,507,786692
565235214,1,5,21,164,620083
565362671,1,15,33,1039,654873
565553626,1,4,7,1640,1268214
566019060,1,3,5,750,748770
566181813,1,32,9,1015,1356063
566199082,1,31,4,1398,975693
566487838,1,41,4,1234,1096382
566815763,1,11,3,1296,1254980
566936760,1,38,37,0,106324
566963590,1,34,37,0,82473
568077566,1,9,25,1015,632035
568104234,1,2,12,492,94165
568197632,1,28,28,742,294757
569021823,1,33,7,2390,2214541
569347289,1,24,25,898,427911
569679332,1,22,37,335,313363
570114686,1,40,22,1375,896355
571220404,1,23,27,140,578277
571689239,1,14,23,679,605045
572003675,1,8,27,0,433038
578472275,1,30,38,437,81212
578787859,1,17,13,1171,1024561
579338704,1,20,38,750,334498
579717511,1,16,17,62,474328
579852557,1,26,18,429,298205
580194528,1,7,12,1078,1358892
580347789,1,32,10,992,1326290
580482541,1,15,34,812,426358
580662743,1,11,4,1054,1000389
580996262,1,31,5,882,460383
581145793,1,5,22,148,596247
581607807,1,4,8,2007,1619874
581741876,1,38,38,0,75502
581769647,1,41,5,2031,1886014
582084466,1,3,6,1703,1704817
582551975,1,34,38,0,84936
582909329,1,2,13,664,266438
583633010,1,28,29,1070,620776
583659673,1,33,8,1914,1720613
583827416,1,9,26,906,521834
584490339,1,22,38,179,155626
584776710,1,24,26,1343,872956
586179204,1,23,28,46,473445
586333145,1,40,23,1953,1474184
587592105,1,8,28,0,162078
587907936,1,14,24,1500,1433133
593513835,1,20,39,554,144541
593907397,1,30,39,734,375702
594216917,1,16,18,187,606546
594234442,1,17,14,1398,1252411
594342829,1,26,19,539,405649
594533723,1,7,13,718,1010592
595152715,1,11,5,1070,1021620
595635232,1,5,23,46,487107
595791905,1,32,11,890,1231645
595813414,1,31,6,1226,808801
595917911,1,15,35,1140,756141
595944275,1,3,7,968,969433
597042727,1,4,9,1710,1328241
597204756,1,41,6,1898,1750790
597399547,1,2,14,773,373822
597491999,1,38,39,7,332233
598148809,1,34,39,0,172505
598464773,1,33,9,1851,1658051
598632800,1,9,27,1101,718483
599382872,1,28,30,859,409701
599887079,1,40,24,1242,778083
599908451,1,24,27,898,426566
600234091,1,22,39,93,69502
600354105,1,23,29,0,368245
602083073,1,14,25,1351,1279933
602722812,1,8,29,0,308923
608318722,1,20,40,632,222836
608712812,1,17,15,882,738538
609352885,1,30,40,460,106493
609650425,1,16,19,78,500404
609971107,1,7,14,554,846389
610092936,1,26,20,421,288558
610119407,1,3,8,882,880347
610441317,1,32,12,1132,1452884
610921772,1,31,7,1125,698383
611037759,1,15,36,796,411215
611064555,1,5,24,210,654416
612493271,1,11,6,2796,2760604
612523018,1,2,15,992,600106
612639786,1,4,10,2890,2501707
612804283,1,41,7,2156,2029962
612927124,1,38,40,0,96662
612953912,1,34,40,0,87567
613423333,1,33,10,1625,1436758
613873129,1,28,31,1085,630052
614386524,1,9,28,937,558115
615039439,1,22,40,109,87502
615646562,1,24,28,968,492773
615796008,1,14,26,812,743064
616734788,1,23,30,390,819204
616888392,1,40,25,2937,2459098
617202905,1,8,30,304,741644
623517649,1,30,41,414,55683
623754057,1,20,41,656,239768
624583071,1,26,21,421,286525
624763442,1,16,20,296,705024
625089988,1,3,9,1203,1218135
625107393,1,17,16,2132,1984730
625715827,1,11,7,1375,1326930
625842870,1,15,37,898,513250
626356144,1,31,8,1484,1061384
626499941,1,7,15,2109,2390834
626652983,1,5,25,867,1314365
626695173,1,2,16,703,310085
626821587,1,32,13,1656,1980071
627283266,1,4,11,2906,2521775
627912327,1,34,41,0,109351
628047237,1,38,41,0,252127
628074981,1,41,8,2820,2671198
628560742,1,9,29,976,599540
628679190,1,28,32,1320,870055
629488728,1,33,11,1773,1588090
630444008,1,14,27,656,601992
630487980,1,22,41,382,353271
630758329,1,23,31,0,186531
631078241,1,24,29,1992,1518221
631540199,1,40,26,2703,2228113
631697044,1,8,31,0,118588
639261880,1,16,21,171,596816
639279094,1,30,42,843,481775
639504170,1,20,42,710,298939
639586999,1,17,17,875,729951
639703184,1,26,22,414,281639
639890797,1,7,16,601,891098
640018281,1,15,38,1054,671912
640827930,1,5,26,687,1137101
641157081,1,32,14,789,1135878
641620103,1,3,10,2859,2857495
641780815,1,4,12,1593,1214627
641907206,1,38,42,0,84577
641935075,1,41,9,2562,2418619
642107153,1,31,9,1328,899389
642474992,1,2,17,882,488361
642538192,1,28,33,898,447307
643033252,1,11,8,3320,3269325
643347304,1,34,42,0,181304
643997030,1,9,30,1054,668650
644770268,1,33,12,2632,2439952
644933419,1,23,32,0,166302
645572186,1,24,30,1156,680381
646183381,1,14,28,1062,997634
646512557,1,40,27,1992,1528595
646542032,1,22,42,484,457313
647765711,1,8,32,164,609111
653994314,1,20,43,609,195333
654122797,1,30,43,679,317655
654540795,1,5,27,0,381874
654697082,1,16,22,70,492956
654714213,1,17,18,648,505613
654823367,1,15,39,1195,814034
655171596,1,3,11,1070,1072167
655329633,1,7,17,1250,1540862
655633510,1,41,10,1914,1773174
655768589,1,26,23,1492,1362649
656082473,1,38,43,0,212974
656282402,1,31,10,1242,816696
656431509,1,11,9,1328,1267864
656740387,1,32,15,2265,2594183
657523496,1,4,13,2351,1965129
657879911,1,2,18,945,548998
658288171,1,28,34,718,268118
658483265,1,9,31,1234,850197
658629310,1,34,43,0,279453
659737676,1,33,13,1703,1524558
659755229,1,24,31,1164,691449
660998955,1,23,33,0,308248
661303367,1,14,29,484,413792
661344857,1,22,43,125,96066
661941387,1,40,28,2054,1590208
662562539,1,8,33,0,93438
668562982,1,30,44,593,234372
669114395,1,20,44,625,213811
669196945,1,17,19,765,621117
669346605,1,5,28,445,890939
669628670,1,26,24,1031,902417
669821695,1,16,23,273,703487
669943511,1,15,40,1070,684174
670134861,1,41,11,1937,1805745
670446032,1,7,18,570,860376
670762490,1,32,16,953,1296962
670787417,1,31,11,1718,1298253
670915011,1,3,12,851,847695
671545302,1,11,10,1125,1070307
671709873,1,4,14,1726,1354613
672148130,1,38,44,226,552043
672977214,1,9,32,1031,648804
673315015,1,2,19,734,336147
673723447,1,28,35,828,375239
673918569,1,24,32,1007,538206
674379388,1,34,44,0,146561
675010496,1,33,14,2437,2238733
675801831,1,23,34,0,230033
675819110,1,18,0,5000,4622250
676156308,1,22,44,281,257267
676900573,1,40,29,1750,1267616
677875404,1,14,30,1070,1000070
678316088,1,8,34,0,136076
683604492,1,20,45,609,195670
684001920,1,30,45,937,579600
684306422,1,5,29,148,608439
684433506,1,26,25,250,118119
684748629,1,15,41,1304,919010
684775109,1,7,19,695,969654
684943686,1,17,20,1554,1406961
685887322,1,16,24,593,1020089
686207359,1,31,12,2187,1765080
686511576,1,32,17,1187,1529425
687152355,1,18,1,2023,1653562
687267717,1,38,45,0,265406
687295443,1,11,11,1757,1703280
687448727,1,4,15,2320,1937236
687616742,1,3,13,2156,2152601
687763923,1,41,12,3875,3731682
688554545,1,34,45,0,133411
688723518,1,9,33,1367,981075
689098874,1,2,20,570,174733
689664593,1,33,15,2070,1885486
689788839,1,28,36,1093,643765
689987523,1,24,33,1453,982095
690789877,1,23,35,0,311829
691390623,1,40,30,1898,1422286
691617921,1,22,45,304,283854
693594604,1,8,35,0,336451
694225462,1,14,31,1718,1649089
698492018,1,30,46,421,61892
698923706,1,15,42,1343,961274
699039583,1,20,46,804,396852
699437891,1,31,13,1117,690400
700059814,1,16,25,320,746313
700374537,1,7,20,1101,1398276
700498659,1,26,26,476,342729
700525227,1,5,30,796,1241296
700845352,1,32,18,1117,1438127
701012610,1,17,21,1640,1499312
701155688,1,41,13,1773,1631280
701320101,1,3,14,1125,1139463
701964437,1,18,2,1492,1123160
702100525,1,4,16,2140,1753077
702261561,1,11,12,1703,1661566
703018394,1,38,46,101,429237
703837045,1,34,46,0,96569
703854030,1,9,34,562,181900
704278687,1,28,37,835,383633
704469738,1,33,16,1953,1768354
705107668,1,24,34,1062,586721
705144641,1,2,21,1109,712698
705403919,1,40,31,1492,1009028
705718488,1,23,36,78,505433
705760198,1,22,46,328,300479
707769672,1,8,36,0,324029
708868900,1,14,32,593,526910
712982143,1,30,47,562,196804
713844717,1,20,47,523,108236
714043710,1,15,43,1093,714090
714223294,1,16,26,7,417203
714864395,1,41,14,984,855622
715176895,1,5,31,0,369536
715201504,1,31,14,976,556120
715498623,1,17,22,703,555648
715618749,1,26,27,414,283121
715798673,1,7,21,648,926651
716275374,1,3,15,945,942453
716804886,1,18,3,2179,1807343
717059128,1,32,19,1656,1989961
717220668,1,11,13,1757,1698818
717384669,1,4,17,2437,2060668
718137937,1,38,47,0,123690
719271905,1,34,47,0,86116
719289038,1,24,35,875,400910
719713946,1,28,38,1117,670455
720062186,1,23,37,273,701325
720370862,1,33,17,3820,3626483
720533149,1,40,32,1804,1338229
720555700,1,9,35,1382,1005300
720568647,1,2,22,968,574194
721202215,1,22,47,179,156538
721974972,1,8,37,0,411218
724933722,1,14,33,671,607320
728417271,1,30,48,671,309349
729163945,1,15,44,1171,787431
729658413,1,16,27,7,423017
729909873,1,20,48,726,313988
730423746,1,26,28,445,312143
730765446,1,5,32,304,754932
730934013,1,31,15,1851,1429214
731080478,1,7,22,695,969681
731241786,1,11,14,1570,1524604
731395941,1,41,15,1890,1746523
731710925,1,32,20,1664,1994368
731882849,1,17,23,1726,1576552
732025771,1,3,16,1351,1349060
732187961,1,4,18,2250,1871753
732205227,1,18,4,2609,2238920
732313040,1,38,48,0,84141
733763822,1,34,48,0,101401
733888921,1,28,39,921,469934
734397241,1,23,38,0,130114
734717902,1,24,36,2109,1630737
735656152,1,33,18,3257,3083639
735678588,1,19,0,4656,5045352
735691512,1,2,23,718,322049
735969978,1,40,33,1351,884433
736282438,1,8,38,0,328989
736303763,1,9,36,2281,1899166
736639429,1,22,48,132,109397
737237893,1,39,0,5851,5941769
739738836,1,14,34,945,873408
743769939,1,20,49,531,115953
743852524,1,30,49,523,164580
744160295,1,16,28,343,768659
744283995,1,26,29,257,124202
744599089,1,15,45,1148,761066
745255020,1,5,33,0,275786
745742956,1,18,5,1789,1417293
746687960,1,17,24,1656,1510590
746860710,1,3,17,976,973092
747047443,1,12,0,1226,1664954
747307047,1,32,21,2421,2762396
747433158,1,38,49,0,290215
747460878,1,11,15,1968,1910975
747623246,1,7,23,1585,1873528
747640769,1,31,16,2625,2192078
747776066,1,41,16,2523,2376648
747948255,1,19,1,2234,2619766
748255327,1,4,19,3257,2880590
748882397,1,34,49,0,126296
748899813,1,24,37,1890,1417928
749196501,1,23,39,0,241891
749513393,1,33,19,1734,1558057
749530786,1,39,1,2234,2320660
749639016,1,28,40,968,517380
749834001,1,9,37,1585,1200934
750182131,1,2,24,1015,617375
750774198,1,8,39,195,642319
751442022,1,22,49,296,271364
752186086,1,40,34,2335,1858373
754858956,1,14,35,859,790365
758574906,1,20,50,734,322800
758971752,1,30,50,726,366089
759404180,1,15,46,1046,660497
759910002,1,16,29,85,506629
760067318,1,5,34,578,1025583
760349102,1,26,30,687,552556
760858833,1,19,2,867,1249094
761485185,1,32,22,1203,1541641
761800431,1,3,18,1187,1200970
762238300,1,38,50,0,110983
762451116,1,31,17,2007,1589459
762745306,1,7,24,710,1003420
762926077,1,11,16,2296,2238902
763389242,1,39,2,1523,1616616
763690027,1,41,17,3554,3423441
763847101,1,23,40,0,283100
764002256,1,34,50,0,152405
764019637,1,17,25,3210,3068839
764639167,1,18,6,4742,4363731
764954305,1,24,38,2382,1907822
765100998,1,4,20,4390,4003550
765299490,1,2,25,546,148797
765578502,1,33,20,2867,2680914
765595777,1,37,0,4765,4353932
765705582,1,28,41,1125,676082
766210113,1,8,40,0,209763
766227381,1,9,38,2492,2109388
766798917,1,12,1,5210,5655428
767196514,1,22,50,101,72739
767651414,1,40,35,1820,1339306
769668249,1,14,36,695,630319
773065163,1,20,51,515,102119
773479570,1,30,51,539,174438
774704167,1,16,30,351,765665
774865796,1,5,35,367,816249
774988889,1,19,3,593,972901
775154028,1,15,47,914,527524
776099223,1,26,31,687,552648
776249016,1,17,26,687,540416
776290715,1,41,18,1843,1711629
776641950,1,32,23,1039,1362934
776655125,1,18,7,1382,1009161
776918307,1,11,17,1390,1349582
776935897,1,31,18,1007,579581
777043413,1,38,51,0,40603
777707525,1,3,19,1265,1265229
777869754,1,24,39,1062,598813
777887087,1,39,3,1335,1426961
778178742,1,23,41,0,130381
778454165,1,37,1,1812,1399861
778492156,1,7,25,1390,1674589
778814787,1,4,21,2679,2295484
778838930,1,12,2,1304,1751331
778960161,1,34,51,0,71247
779448225,1,33,21,2171,1985096
779464742,1,9,39,757,370743
780415899,1,2,26,546,148018
781032758,1,8,41,93,528218
781139283,1,28,42,695,244229
782264634,1,40,36,1304,827525
783252403,1,22,51,328,300465
785261169,1,14,37,1140,1067599
788815283,1,20,52,492,78752
789163843,1,30,52,617,257109
789208054,1,16,31,210,632336
789355908,1,5,36,351,798518
789644134,1,15,48,867,482563
790301409,1,41,19,1382,1237928
790424006,1,19,4,500,884550
790739289,1,18,8,1117,741742
791728821,1,31,19,992,567792
791849347,1,26,32,468,334031
791876197,1,3,20,1164,1159627
791999142,1,17,27,781,630243
792060872,1,39,4,992,1092903
792385223,1,32,24,1773,2098375
792478535,1,38,52,0,75749
