sim_time_us,node_id,seq
660863587,29,40
665320135,41,19
665560731,35,9
665841302,24,7
666016837,38,36
667011393,34,9
667131781,36,21
668071301,21,42
668209806,32,20
668222361,7,11
668231199,6,12
669020498,37,28
670015640,25,5
670213391,23,7
670680316,31,29
671076712,26,17
671307448,4,5
671342716,40,24
671810564,28,24
671848838,19,3
671903751,12,6
671973277,20,5
672074030,15,12
672101670,22,44
672166209,11,5
672317395,14,44
672984428,18,0
673260754,27,19
673425012,8,1
674022606,39,29
674083260,13,44
674952181,30,44
675277196,29,41
676275992,33,18
679835750,41,20
679903802,24,8
680313088,38,37
680528790,35,10
681745879,34,10
682172162,21,43
682413002,36,22
682773857,6,13
683294790,37,29
683440562,7,12
684030089,32,21
684265630,25,6
685323062,4,6
685373946,40,25
685725204,31,30
686071541,28,25
686075295,23,8
686669355,26,18
686670741,12,7
686829526,11,6
687016126,20,6
687345061,19,4
687403694,10,0
687492805,14,45
687768099,22,45
687955575,15,13
688695248,8,2
688945257,18,1
689036356,13,45
689177284,27,20
689475579,30,45
689858695,39,30
690484480,29,42
690822867,33,19
693940956,41,21
695606927,24,9
696281858,38,38
696505339,35,11
697175576,34,11
697242514,21,44
697851982,6,14
698101006,36,23
698272359,7,13
698530089,32,22
698640630,25,7
699137657,37,30
700448053,4,7
700672804,31,31
700675010,40,26
701068357,28,26
701342626,12,8
701557131,23,9
701676381,20,7
701735657,19,5
701852983,11,7
702091301,14,46
702216220,26,19
702231769,10,1
703242113,8,3
703350673,15,14
703518517,27,21
703578069,18,2
703739535,2,0
703757900,22,46
704059794,13,46
705335087,39,31
705408070,30,46
706464812,29,43
706635367,33,20
709538855,41,22
711072192,24,10
711367485,21,45
711969348,38,39
712199035,34,12
712497526,35,12
712617607,6,15
712884357,7,14
713600502,36,24
713758290,3,0
713889454,32,23
714145470,37,31
714546880,25,8
714854846,40,27
714918898,31,32
715923157,19,6
716010386,23,10
716010606,4,8
716183712,11,8
716348956,10,2
716717076,12,9
716824535,14,47
716944079,28,27
717394312,15,15
717645131,20,8
718106855,26,20
718511949,22,47
718913988,8,4
718919173,2,1
718992616,18,3
719040130,13,47
719245080,27,22
719883100,39,32
721089742,29,44
721332628,30,47
722260378,33,21
724421697,41,23
726608310,24,11
726636535,34,13
