sim_time_us,node_id,event,peer,detail
614422981,5,EOL,0x0028,
614612523,40,ADD,0x000e,
614738805,14,CELL_ALLOC,0x0028,slot=9 ch=1 dir=Receive
614756535,14,SUCCESS,0x0028,
614907649,40,CELL_ALLOC,0x000e,slot=9 ch=1 dir=Transmit
620879644,37,LIST,0x0012,
621038892,18,EOL,0x0025,
623740729,1,LIST,0x001e,
623873441,30,EOL,0x0001,
628571641,26,LIST,0x0026,
628775159,38,EOL,0x001a,
630471477,13,LIST,0x0021,
630637828,33,EOL,0x000d,
631407005,25,LIST,0x001b,
631583055,27,EOL,0x0019,
669547045,38,LIST,0x000f,
669698085,15,EOL,0x0026,
672566677,11,LIST,0x0028,
672699787,40,EOL,0x000b,
672887875,11,ADD,0x0028,
673015822,40,CELL_ALLOC,0x000b,slot=7 ch=1 dir=Receive
673029820,40,SUCCESS,0x000b,
673183035,11,CELL_ALLOC,0x0028,slot=7 ch=1 dir=Transmit
691721731,9,LIST,0x001e,
691829860,30,EOL,0x0009,
700185985,40,LIST,0x000b,
700253533,11,EOL,0x0028,
702678043,19,LIST,0x001f,
702939327,31,EOL,0x0013,
703034505,4,LIST,0x0021,
703088720,33,EOL,0x0004,
703128521,19,ADD,0x001f,
703255465,31,CELL_ALLOC,0x0013,slot=17 ch=12 dir=Receive
703269690,31,SUCCESS,0x0013,
703289203,4,ADD,0x0021,
703404646,33,CELL_ALLOC,0x0004,slot=6 ch=12 dir=Receive
703418725,33,SUCCESS,0x0004,
703590626,4,CELL_ALLOC,0x0021,slot=6 ch=12 dir=Transmit
703590639,19,CELL_ALLOC,0x001f,slot=17 ch=12 dir=Transmit
726752980,34,LIST,0x0008,
726878732,8,EOL,0x0022,
730513292,33,LIST,0x0004,
730659185,4,EOL,0x0021,
744785969,4,LIST,0x0020,
744834404,32,EOL,0x0004,
747536098,12,LIST,0x0011,
747807909,17,EOL,0x000c,
748640220,32,LIST,0x0021,
749079310,33,EOL,0x0020,
749132764,32,LIST,0x0004,
750504547,4,EOL,0x0020,
752901861,32,ADD,0x0021,
753099076,33,CELL_ALLOC,0x0020,slot=5 ch=14 dir=Receive
753113127,33,SUCCESS,0x0020,
753200102,32,CELL_ALLOC,0x0021,slot=5 ch=14 dir=Transmit
754877769,20,LIST,0x0026,
754914800,38,EOL,0x0014,
758217063,6,LIST,0x001b,
758379152,27,EOL,0x0006,
775780875,14,LIST,0x0028,
775854111,40,EOL,0x000e,
789316642,15,LIST,0x001e,
789399475,30,EOL,0x000f,
794747480,38,LIST,0x0001,
794814768,1,EOL,0x0026,
795204208,38,LIST,0x0014,
795234390,20,EOL,0x0026,
795727503,38,LIST,0x001e,
795870749,30,EOL,0x0026,
796212142,38,LIST,0x001a,
796329879,26,EOL,0x0026,
796930744,38,LIST,0x001c,
797124270,28,EOL,0x0026,
797680294,38,ADD,0x0001,
797965470,1,CELL_ALLOC,0x0026,slot=16 ch=7 dir=Receive
797988373,1,SUCCESS,0x0026,
798101322,38,CELL_ALLOC,0x0001,slot=16 ch=7 dir=Transmit
800867901,26,LIST,0x000f,
800904915,15,EOL,0x001a,
801999735,24,LIST,0x0009,
802314141,9,EOL,0x0018,
805786365,27,LIST,0x0019,
806016044,18,LIST,0x000a,
806057242,25,EOL,0x001b,
806100115,10,EOL,0x0012,
808778519,21,LIST,0x0013,
812714384,19,EOL,0x0015,
812910043,21,ADD,0x0013,
813025502,19,CELL_ALLOC,0x0015,slot=16 ch=0 dir=Receive
813039490,19,SUCCESS,0x0015,
813208947,21,CELL_ALLOC,0x0013,slot=16 ch=0 dir=Transmit
813619362,8,LIST,0x0005,
813654318,5,EOL,0x0008,
815629187,17,LIST,0x0002,
815709915,2,EOL,0x0011,
823001475,30,LIST,0x0001,
823195243,1,EOL,0x001e,
825131767,13,LIST,0x001c,
825280521,28,EOL,0x000d,
826027501,2,LIST,0x0016,
826409924,22,EOL,0x0002,
828227007,28,LIST,0x0026,
828449364,38,EOL,0x001c,
832142086,31,LIST,0x0013,
832239748,19,EOL,0x001f,
833059696,19,LIST,0x0015,
833184498,21,EOL,0x0013,
842559971,1,LIST,0x0026,
842653806,38,EOL,0x0001,
853973424,25,LIST,0x0006,
854575960,6,EOL,0x0019,
857480715,5,LIST,0x0008,
857658909,8,EOL,0x0005,
864874398,30,LIST,0x0026,
865019215,38,EOL,0x001e,
865212151,30,LIST,0x000f,
865314576,15,EOL,0x001e,
865735749,30,LIST,0x0018,
865795178,24,EOL,0x001e,
866072370,30,ADD,0x0001,
866354050,1,CELL_ALLOC,0x001e,slot=20 ch=5 dir=Receive
866368050,1,SUCCESS,0x001e,
866454599,30,CELL_ALLOC,0x0001,slot=20 ch=5 dir=Transmit
887661348,35,LIST,0x000d,
887951310,13,EOL,0x0023,
890662978,9,LIST,0x0018,
890829985,24,EOL,0x0009,
892727665,23,LIST,0x0008,
893218541,23,LIST,0x0022,
895899654,37,LIST,0x000c,
896035370,8,EOL,0x0017,
896110614,12,EOL,0x0025,
898870622,34,EOL,0x0017,
899059716,23,ADD,0x0008,
899186329,8,CELL_ALLOC,0x0017,slot=9 ch=6 dir=Receive
899201306,8,SUCCESS,0x0017,
900614927,23,CELL_ALLOC,0x0008,slot=9 ch=6 dir=Transmit
904868001,38,DELETE,0x0001,
905082459,1,SUCCESS,0x0026,
924898852,40,LIST,0x000e,
925034164,14,EOL,0x0028,
944347669,39,LIST,0x001f,
944711650,31,EOL,0x0027,
954398510,22,LIST,0x0001,
954641151,1,EOL,0x0016,
957232891,16,LIST,0x0017,
957295750,23,EOL,0x0010,
957506987,16,ADD,0x0017,
957611883,23,CELL_ALLOC,0x0010,slot=7 ch=10 dir=Receive
957625916,23,SUCCESS,0x0010,
957794916,16,CELL_ALLOC,0x0017,slot=7 ch=10 dir=Transmit
962937318,24,LIST,0x0011,
963289663,17,EOL,0x0018,
964365494,34,LIST,0x0017,
964540496,23,EOL,0x0022,
966001649,7,LIST,0x0010,
966281218,16,EOL,0x0007,
966470130,7,ADD,0x0010,
966597184,16,CELL_ALLOC,0x0007,slot=6 ch=15 dir=Receive
966611135,16,SUCCESS,0x0007,
966765749,7,CELL_ALLOC,0x0010,slot=6 ch=15 dir=Transmit
967557301,20,LIST,0x0001,
967627521,1,EOL,0x0014,
967992308,12,LIST,0x0012,
968171336,18,EOL,0x000c,
968457318,15,LIST,0x001a,
968472020,23,LIST,0x0010,
968635605,16,EOL,0x0017,
968642886,26,EOL,0x000f,
974853462,38,LIST,0x000f,
974935426,15,EOL,0x0026,
975022360,38,ADD,0x0001,
975320611,10,LIST,0x0012,
975346090,1,CELL_ALLOC,0x0026,slot=16 ch=10 dir=Receive
975360416,1,SUCCESS,0x0026,
975435890,38,CELL_ALLOC,0x0001,slot=16 ch=10 dir=Transmit
975581972,18,EOL,0x000a,
980990058,1,ADD,0x0026,
981112305,38,SUCCESS,0x0001,
981224843,1,CELL_ALLOC,0x0026,slot=4 ch=3 dir=Transmit
981238493,1,SUCCESS,0x0026,
981396523,38,CELL_ALLOC,0x0001,slot=4 ch=3 dir=Receive
990554340,32,LIST,0x0007,
991490361,6,LIST,0x001a,
991621198,26,EOL,0x0006,
993169314,16,LIST,0x0007,
993205884,7,EOL,0x0010,
997967686,11,LIST,0x0028,
998401510,40,EOL,0x000b,
1005646067,30,LIST,0x0009,
1005805661,9,EOL,0x001e,
1017618415,33,LIST,0x0020,
1017776069,32,EOL,0x0021,
1021925903,5,LIST,0x000e,
1022047446,14,EOL,0x0005,
1033703199,25,LIST,0x0023,
1033856390,35,EOL,0x0019,
1034531993,18,LIST,0x0011,
1034821944,17,EOL,0x0012,
1039035758,4,LIST,0x0021,
1039332768,33,EOL,0x0004,
1041678659,13,LIST,0x0023,
1041896417,35,EOL,0x000d,
1044858881,14,LIST,0x0008,
1045092718,8,EOL,0x000e,
1048516370,26,LIST,0x0006,
1048646423,6,EOL,0x001a,
1050175982,2,LIST,0x0011,
1050230705,17,EOL,0x0002,
1051185342,27,LIST,0x0006,
1051333120,6,EOL,0x001b,
1058689900,9,LIST,0x001f,
1058753463,31,EOL,0x0009,
1062850530,8,LIST,0x0017,
1062995814,23,EOL,0x0008,
1069286193,19,LIST,0x001f,
1069425763,31,EOL,0x0013,
1074589628,1,LIST,0x0016,
1074642504,22,EOL,0x0001,
1084866337,38,DELETE,0x0001,
1084945366,1,SUCCESS,0x0026,
1096386867,17,LIST,0x0018,
1096593312,24,EOL,0x0011,
1115937954,40,LIST,0x0005,
1116057014,5,EOL,0x0028,
1122516954,31,LIST,0x0009,
1122710538,9,EOL,0x001f,
1131137495,37,LIST,0x0012,
1131185883,18,EOL,0x0025,
1144163726,29,LIST,0x0015,
1144407198,21,EOL,0x001d,
1144609076,29,ADD,0x0015,
1144723184,21,CELL_ALLOC,0x001d,slot=15 ch=2 dir=Receive
1144737203,21,SUCCESS,0x001d,
1144906610,29,CELL_ALLOC,0x0015,slot=15 ch=2 dir=Transmit
1147681023,35,LIST,0x0006,
1147723474,6,EOL,0x0023,
1148102095,12,LIST,0x0025,
1148187035,37,EOL,0x000c,
1154910831,28,LIST,0x000d,
1155012415,13,EOL,0x001c,
1155555166,21,LIST,0x0013,
1155726894,19,EOL,0x0015,
1182091218,34,LIST,0x0001,
1182148257,1,EOL,0x0022,
1198355066,3,LIST,0x0005,
1198437775,5,EOL,0x0003,
1198630110,3,ADD,0x0005,
1198753908,5,CELL_ALLOC,0x0003,slot=10 ch=9 dir=Receive
1198767946,5,SUCCESS,0x0003,
1198922143,3,CELL_ALLOC,0x0005,slot=10 ch=9 dir=Transmit
1212923434,22,LIST,0x0011,
1213077527,17,EOL,0x0016,
1214880059,38,LIST,0x0001,
1215041354,1,EOL,0x0026,
1215382173,38,LIST,0x0014,
1215382917,25,LIST,0x001b,
1215466526,20,EOL,0x0026,
1215597404,27,EOL,0x0019,
1215860462,38,LIST,0x001e,
1215912694,30,EOL,0x0026,
1216360568,38,LIST,0x001a,
1216392861,26,EOL,0x0026,
1217327605,38,LIST,0x001c,
1217487439,28,EOL,0x0026,
1217868280,38,ADD,0x0001,
1218178715,1,CELL_ALLOC,0x0026,slot=16 ch=11 dir=Receive
1218197865,1,SUCCESS,0x0026,
1218566614,5,LIST,0x0028,
1218598930,40,EOL,0x0005,
