sim_time_us,node_id,event,detail
373159286,27,RX,
373159288,34,RX,
373227920,26,TX,
373401279,30,TX,
373431947,31,TX,
373639365,27,RX,
373639365,36,RX,
373639366,34,RX,
373675472,35,TX,
373768273,2,TX,
373789210,3,RX,
373789211,10,RX,
373954318,18,RX,
373954323,20,RX,
373954329,11,RX,
373954345,27,RX,
373971926,19,TX,
374033642,34,TX,
374104421,35,RX,
374104423,26,RX,
374544471,6,TX,
374584265,14,RX,
374584267,7,RX,
374584268,5,RX,
374639660,22,TX,
374763154,13,TX,
374798862,1,TX,
374899025,22,RX,
374899027,13,RX,
374899030,14,RX,
374899031,21,RX,
374899031,29,RX,
374899056,30,RX,
375142812,28,TX,
375214209,29,RX,
375214211,36,RX,
375214224,27,RX,
375214234,20,RX,
376159169,24,RX,
376159183,31,RX,
376474284,3,RX,
376474286,5,RX,
376515548,4,TX,
377052691,14,TX,
378993932,15,RX,
378993932,22,RX,
378993935,1,RX,
378993957,6,RX,
378993961,13,RX,
385564368,1,TX,
385609107,22,RX,
385609109,21,RX,
385609110,13,RX,
385609113,14,RX,
385609118,29,RX,
385609133,30,RX,
399985902,1,TX,
411124307,13,RX,
411124307,14,RX,
411124307,21,RX,
411124313,22,RX,
411124320,30,RX,
411124323,29,RX,
411137484,1,TX,
423977192,1,TX,
424039405,13,RX,
424039406,14,RX,
424039406,21,RX,
424039408,22,RX,
424039410,29,RX,
424039434,30,RX,
430380308,15,TX,
430888923,20,TX,
430969537,28,RX,
430969540,21,RX,
430969560,19,RX,
431254281,38,TX,
431284730,37,RX,
431284737,30,RX,
431285016,39,RX,
431449703,17,RX,
431449730,8,RX,
431503191,16,TX,
431566687,10,TX,
431599738,11,RX,
431599742,2,RX,
431599743,18,RX,
432007046,37,TX,
432064291,33,RX,
432064599,36,RX,
432064603,38,RX,
432064753,2,RX,
432064758,11,RX,
432093739,3,TX,
432117777,25,TX,
432698739,16,RX,
432752176,8,TX,
432831557,17,TX,
432965761,12,TX,
432966150,9,TX,
433215188,39,TX,
433310371,36,TX,
433324669,35,RX,
433324696,37,RX,
433324700,28,RX,
433346560,40,RX,
433399831,41,TX,
433441159,18,TX,
433449497,33,TX,
433475984,24,TX,
433489748,23,RX,
433489749,32,RX,
433489881,10,RX,
433489881,19,RX,
433489881,26,RX,
433523981,41,RX,
433523986,39,RX,
433577566,40,TX,
433732931,32,TX,
433804849,31,RX,
433804852,24,RX,
434185706,11,TX,
434245023,26,TX,
434269792,34,RX,
434269861,3,RX,
434332682,21,TX,
434359088,31,TX,
434434556,13,RX,
434434562,20,RX,
434434739,32,RX,
434584604,6,RX,
434584604,13,RX,
434584607,4,RX,
434606936,5,TX,
435379935,26,RX,
435379959,35,RX,
435393056,34,TX,
435524340,29,TX,
435529558,37,RX,
435529582,28,RX,
435535054,6,TX,
435693059,27,TX,
435694719,19,RX,
435694722,28,RX,
435694723,35,RX,
435694744,26,RX,
435902246,23,TX,
435974920,13,TX,
436009613,5,RX,
436152699,35,TX,
436157082,28,TX,
436251107,7,TX,
436789555,15,RX,
436789558,6,RX,
437064228,1,TX,
437104470,21,RX,
437104472,29,RX,
