sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
240481231,17,3,1966080,46528,1919552,0,113,1965966,1966079
240585042,12,3,1966091,49127,1916964,0,113,1965978,1966091
240608387,9,3,1966080,49078,1917002,0,113,1965966,1966079
240652971,16,3,1966080,50743,1915337,0,124,1965955,1966079
240644923,1,3,1966091,1966091,0,0,9412,139138,148550
240662381,28,3,1966080,143976,1822104,0,10620,95721,106341
240659320,29,3,1968046,135560,1832486,0,11887,96925,108812
240772395,31,3,1966080,51438,1914642,0,124,1965955,1966079
240782164,32,3,1966080,49877,1916203,0,113,1965965,1966078
240785930,21,3,1966080,95185,1870895,0,3307,55297,58604
240794830,15,3,1966087,56343,1909744,0,817,1687659,1688476
240811231,26,3,1966087,84733,1881354,0,7000,197338,204338
240813925,23,3,1966087,68535,1897552,0,3227,1055097,1058324
240829060,10,3,1966080,49437,1916643,0,124,1965955,1966079
240840519,4,3,1966079,76190,1889889,0,6603,67458,74061
240864876,39,3,1966080,48057,1918023,0,78,1966001,1966079
240875882,3,3,1966087,68057,1898030,0,4741,401264,406005
240882072,34,3,1966087,67318,1898769,0,3370,1224359,1227729
240900648,22,3,1966080,89187,1876893,0,4349,61198,65547
240900471,27,3,1966103,96959,1869144,0,6461,75850,82311
241007764,24,3,1966080,51045,1915035,0,124,1965955,1966079
241024462,7,3,1966080,49173,1916907,0,124,1965955,1966079
241044592,33,3,1966080,50477,1915603,0,124,1965955,1966079
241057113,14,3,1966080,69914,1896166,0,2755,51747,54502
241077830,30,3,1966080,70204,1895876,0,2983,54265,57248
241081099,41,3,1966080,48097,1917983,0,78,1966001,1966079
241157837,6,3,1966079,62525,1903554,0,4154,67370,71524
241175332,2,3,1966080,49203,1916877,0,124,1965955,1966079
241243086,40,3,1966080,48450,1917630,0,78,1966001,1966079
241260059,25,3,1966080,48565,1917515,0,124,1965955,1966079
300283491,20,4,1966079,60127,1905952,0,5025,54806,59831
300312213,38,4,1966080,45693,1920387,0,152,1415365,1415517
300316759,36,4,1966079,93303,1872776,0,7674,77904,85578
300331275,11,4,1966080,51129,1914951,0,124,1965955,1966079
300327885,19,4,1966087,68680,1897407,0,2876,1074995,1077871
300369590,42,4,1966080,41566,1924514,0,0,1966080,1966080
300388631,13,4,1966094,83062,1883032,0,7507,78022,85529
300410032,8,4,1966080,50165,1915915,0,124,1965955,1966079
300422716,35,4,1966079,84054,1882025,0,5177,57118,62295
300447020,5,4,1966080,67017,1899063,0,7789,91755,99544
300464802,37,4,1966079,47313,1918766,0,3523,53071,56594
300479733,18,4,1966080,50763,1915317,0,124,1965955,1966079
300481231,17,4,1966080,49672,1916408,0,124,1965955,1966079
300585042,12,4,1966080,50418,1915662,0,124,1965955,1966079
300599344,29,4,1964114,110252,1853862,0,13362,105454,118816
300608387,9,4,1966080,50219,1915861,0,124,1965955,1966079
300643237,1,4,1966025,1966025,0,0,9965,141614,151579
300653327,16,4,1966091,50801,1915290,0,125,1965967,1966092
300661863,28,4,1966080,139082,1826998,0,12452,116430,128882
300772596,31,4,1966087,62984,1903103,0,2786,1403785,1406571
300782164,32,4,1966080,47360,1918720,0,124,1965955,1966079
