sim_time_us,node_id,event,peer,detail
361364907,10,EOL,0x000b,
362686684,7,ADD,0x000f,
362774875,19,EOL,0x000b,
363290492,11,ADD,0x0013,
369968569,32,LIST,0x0018,
371827409,27,LIST,0x0023,
371909628,35,EOL,0x001b,
376653653,31,LIST,0x0020,
376949661,32,EOL,0x001f,
378060057,24,EOL,0x0020,
378253457,32,ADD,0x0018,
379063478,18,LIST,0x000a,
379154799,10,EOL,0x0012,
380581410,19,CELL_ALLOC,0x000b,slot=1 ch=2 dir=Receive
380595510,19,SUCCESS,0x000b,
380755732,11,CELL_ALLOC,0x0013,slot=1 ch=2 dir=Transmit
381211274,24,CELL_ALLOC,0x0020,slot=2 ch=13 dir=Receive
381225281,24,SUCCESS,0x0020,
381358167,10,LIST,0x000b,
381675001,11,EOL,0x000a,
383905848,32,CELL_ALLOC,0x0018,slot=2 ch=13 dir=Transmit
385642218,37,LIST,0x0026,
385769626,38,EOL,0x0025,
397844362,11,LIST,0x0003,
397905590,3,EOL,0x000b,
398862630,28,LIST,0x0024,
399059877,36,EOL,0x001c,
404488122,15,ADD,0x000e,
409772633,7,ADD,0x000f,
410521219,24,LIST,0x0020,
410654799,32,EOL,0x0018,
417867077,24,ADD,0x0020,
417929737,32,SUCCESS,0x0018,
417985509,24,CELL_ALLOC,0x0020,slot=20 ch=9 dir=Transmit
417998554,24,SUCCESS,0x0020,
418292289,32,CELL_ALLOC,0x0018,slot=20 ch=9 dir=Receive
423763463,35,LIST,0x0022,
423885164,34,EOL,0x0023,
426139686,23,LIST,0x001f,
426255414,31,EOL,0x0017,
444042800,15,ADD,0x000e,
444717477,32,LIST,0x001f,
444840621,31,EOL,0x0020,
446082280,20,LIST,0x0013,
446250328,19,EOL,0x0014,
452514850,7,ADD,0x000f,
454629323,33,LIST,0x0020,
455313377,1,LIST,0x001d,
455385167,29,EOL,0x0001,
457369908,16,LIST,0x000f,
457862089,16,LIST,0x0018,
460617060,22,LIST,0x0015,
460905661,21,EOL,0x0016,
462523001,13,LIST,0x0005,
462630485,5,EOL,0x000d,
462945444,15,EOL,0x0010,
464594562,14,ADD,0x0001,
466410750,32,EOL,0x0021,
466611805,33,ADD,0x0020,
468341140,30,LIST,0x001f,
470672088,32,CELL_ALLOC,0x0021,slot=1 ch=11 dir=Receive
470686212,32,SUCCESS,0x0021,
470829247,33,CELL_ALLOC,0x0020,slot=1 ch=11 dir=Transmit
478104230,8,LIST,0x0010,
481255641,41,LIST,0x0021,
481530774,33,EOL,0x0029,
481731498,41,ADD,0x0021,
481846861,33,CELL_ALLOC,0x0029,slot=20 ch=15 dir=Receive
481860878,33,SUCCESS,0x0029,
