sim_time_us,node_id,event,peer,detail
361699071,19,CELL_ALLOC,0x001f,slot=12 ch=8 dir=Transmit
369851153,15,LIST,0x001e,
370048927,30,EOL,0x000f,
371863603,28,LIST,0x0026,
373650058,38,EOL,0x001c,
373841855,28,ADD,0x0026,
376986923,30,LIST,0x0026,
377264648,38,EOL,0x001e,
377472747,35,ADD,0x0019,
377771730,25,SUCCESS,0x0023,
377980493,35,CELL_ALLOC,0x0019,slot=15 ch=7 dir=Transmit
377993521,35,SUCCESS,0x0019,
378213055,25,CELL_ALLOC,0x0023,slot=15 ch=7 dir=Receive
378874180,13,LIST,0x001c,
379359266,13,LIST,0x0023,
387824959,28,EOL,0x000d,
388140142,35,EOL,0x000d,
390066715,13,ADD,0x001c,
398142181,1,LIST,0x0014,
398219986,20,EOL,0x0001,
399636833,16,LIST,0x0017,
399794906,23,EOL,0x0010,
399984474,16,ADD,0x0017,
400111228,23,CELL_ALLOC,0x0010,slot=10 ch=15 dir=Receive
400125309,23,SUCCESS,0x0010,
402964453,16,CELL_ALLOC,0x0017,slot=10 ch=15 dir=Transmit
404355120,28,ADD,0x0026,
404521734,38,CELL_ALLOC,0x001c,slot=11 ch=5 dir=Receive
404535936,38,SUCCESS,0x001c,
404854348,28,CELL_ALLOC,0x0026,slot=11 ch=5 dir=Transmit
414504691,9,LIST,0x001f,
414600053,31,EOL,0x0009,
420207838,34,LIST,0x0008,
420269841,8,EOL,0x0022,
422629394,12,LIST,0x0012,
422790279,18,EOL,0x000c,
431515558,14,LIST,0x0008,
431610423,8,EOL,0x000e,
431990817,5,LIST,0x0008,
432008163,14,LIST,0x0005,
432075197,5,EOL,0x000e,
432240397,8,EOL,0x0005,
432483440,5,LIST,0x000e,
433850786,14,ADD,0x0008,
433966621,8,CELL_ALLOC,0x000e,slot=10 ch=15 dir=Receive
433980685,8,SUCCESS,0x000e,
434304361,28,LIST,0x000d,
435375012,13,ADD,0x001c,
435705576,14,EOL,0x0005,
435705888,28,CELL_ALLOC,0x000d,slot=20 ch=1 dir=Receive
435719914,28,SUCCESS,0x000d,
436055788,5,ADD,0x0008,
436171600,8,CELL_ALLOC,0x0005,slot=5 ch=6 dir=Receive
436185683,8,SUCCESS,0x0005,
437525279,37,LIST,0x0012,
437910639,18,EOL,0x0025,
438017449,37,LIST,0x000c,
438874914,13,CELL_ALLOC,0x001c,slot=20 ch=1 dir=Transmit
440745723,12,EOL,0x0025,
440934972,37,ADD,0x0012,
442654781,14,CELL_ALLOC,0x0008,slot=10 ch=15 dir=Transmit
442969473,5,CELL_ALLOC,0x0008,slot=5 ch=6 dir=Transmit
443416497,18,CELL_ALLOC,0x0025,slot=13 ch=6 dir=Receive
443430595,18,SUCCESS,0x0025,
443600047,37,CELL_ALLOC,0x0012,slot=13 ch=6 dir=Transmit
443852699,23,ADD,0x0008,
443939233,8,SUCCESS,0x0017,
444273669,23,CELL_ALLOC,0x0008,slot=6 ch=3 dir=Transmit
444286653,23,SUCCESS,0x0008,
444559802,8,CELL_ALLOC,0x0017,slot=6 ch=3 dir=Receive
448700911,24,LIST,0x0011,
448770363,17,EOL,0x0018,
450631870,23,LIST,0x0010,
450975082,16,EOL,0x0017,
457510011,18,LIST,0x0025,
457590338,37,EOL,0x0012,
459340073,26,LIST,0x0026,
459480845,38,EOL,0x001a,
465717597,10,LIST,0x0012,
465946016,18,EOL,0x000a,
466210003,10,LIST,0x0027,
466260634,39,EOL,0x000a,
466453657,10,ADD,0x0012,
468488531,18,CELL_ALLOC,0x000a,slot=12 ch=11 dir=Receive
468502618,18,SUCCESS,0x000a,
468642332,10,CELL_ALLOC,0x0012,slot=12 ch=11 dir=Transmit
483261953,7,LIST,0x0010,
483408692,6,LIST,0x0023,
483420577,16,EOL,0x0007,
483621528,7,ADD,0x0010,
483630696,35,EOL,0x0006,
483736354,16,CELL_ALLOC,0x0007,slot=9 ch=2 dir=Receive
483750329,16,SUCCESS,0x0007,
483919884,7,CELL_ALLOC,0x0010,slot=9 ch=2 dir=Transmit
485862671,39,LIST,0x000a,
