sim_time_us,event,detail
3269288889,STATUS,tick=6
3279301839,STATUS,tick=7
3289309358,STATUS,tick=8
3299317171,STATUS,tick=9
3309325123,STATUS,tick=10
3319332936,STATUS,tick=11
3329340768,STATUS,tick=12
3339348561,STATUS,tick=13
3349356373,STATUS,tick=14
3359364459,STATUS,tick=15
3369371998,STATUS,tick=16
3379379811,STATUS,tick=17
3389387643,STATUS,tick=18
3399395436,STATUS,tick=19
3409403536,STATUS,tick=20
3419411061,STATUS,tick=21
3429418873,STATUS,tick=22
3439426968,STATUS,tick=23
3449434518,STATUS,tick=24
3459442311,STATUS,tick=25
3469450123,STATUS,tick=26
3479457936,STATUS,tick=27
3489465748,STATUS,tick=28
3499473561,STATUS,tick=29
3509481393,STATUS,tick=30
3519489459,STATUS,tick=31
3529496999,STATUS,tick=32
3539504811,STATUS,tick=33
3549512624,STATUS,tick=34
3559520436,STATUS,tick=35
3569528546,STATUS,tick=36
3579536061,STATUS,tick=37
3589543874,STATUS,tick=38
3599551970,STATUS,tick=39
