sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
598837589,1,16,3,1492,1455131
598923531,1,4,4,687,814055
599350488,1,38,3,265,384087
606262027,1,37,18,117,158693
609264731,1,21,40,664,218655
609428070,1,31,0,14335,13788616
609862483,1,15,7,1023,894523
610687649,1,30,40,1062,312031
611311991,1,36,17,1296,831396
611325102,1,31,1,1351,795064
611752549,1,23,22,265,435266
612382191,1,24,8,2437,1808331
613012555,1,16,4,929,895713
613038559,1,20,32,867,1071733
613098486,1,13,40,382,153202
613191813,1,29,40,484,235039
613327001,1,22,40,78,103472
613413604,1,12,13,898,653978
613668833,1,28,23,2148,1856624
614044035,1,5,13,1125,968554
614673693,1,4,5,734,861072
615099875,1,38,4,382,500606
615243790,1,19,6,2734,2963016
616195598,1,11,0,6265,6378049
621454032,1,37,19,500,538227
623118369,1,21,41,476,38334
625171687,1,36,18,898,433854
625184798,1,31,2,1187,631322
625638642,1,11,1,1484,1594591
625927626,1,15,8,1289,1162800
626481747,1,30,41,1039,282890
626872686,1,23,23,367,542332
627502631,1,8,0,2507,2443774
627528699,1,20,33,132,333781
627588597,1,13,41,421,198036
627843958,1,28,24,1210,914611
628141397,1,24,9,2523,1899115
628158610,1,19,7,710,940356
628219171,1,5,14,1156,1003086
628447070,1,22,41,109,125592
628533838,1,12,14,726,489723
628626953,1,29,41,421,170209
628762830,1,17,0,3187,3054307
629395090,1,16,5,1445,1411075
629591918,1,38,5,375,492689
630108747,1,4,6,710,834036
635252464,1,37,20,117,172586
638245349,1,21,42,742,306558
639982467,1,31,3,648,100866
640128260,1,11,2,523,638897
640615838,1,30,42,851,104372
641227745,1,36,19,1351,872724
641557739,1,39,0,648,421919
641677756,1,15,9,1250,1123888
642141284,1,13,42,515,289780
642157755,1,19,8,109,334122
642937791,1,23,24,859,1039614
643310159,1,20,34,320,523060
643338991,1,5,15,609,458843
643567238,1,22,42,46,70268
643762751,1,38,6,375,491647
643883075,1,24,10,2960,2328841
643909095,1,28,25,1851,1557872
643968975,1,12,15,835,596735
644062047,1,29,42,515,269342
644197754,1,8,1,3226,3161759
644598875,1,4,7,679,801909
645457953,1,17,1,4312,4179158
646402946,1,16,6,2593,2557342
649732387,1,37,21,492,535332
652413579,1,21,43,539,99808
655103024,1,30,43,1070,312369
655570051,1,11,3,695,807250
656277752,1,13,43,414,191863
656365944,1,31,4,1132,585906
656672202,1,36,20,1992,1528089
656685034,1,39,1,968,736706
657112897,1,23,25,726,902240
657799368,1,20,35,562,770088
657828918,1,5,16,726,570041
657940340,1,38,7,429,552048
658090253,1,19,9,875,1102442
658372649,1,22,43,593,617896
658687855,1,15,10,3289,3165071
659186707,1,29,43,296,47518
659344215,1,28,26,2437,2141420
659404382,1,12,16,1453,1211819
659719260,1,4,8,1617,1742567
659948084,1,17,2,3726,3589983
660263196,1,24,11,3851,3219285
660577875,1,8,2,3742,3683111
661523066,1,16,7,1828,1796848
665175682,1,37,22,101,150472
667848682,1,21,44,703,261444
670541062,1,31,5,835,282870
670690731,1,11,4,437,552910
670743973,1,13,44,375,150241
670855328,1,30,44,890,140717
671164420,1,36,21,921,457807
671917869,1,23,26,562,738452
672556619,1,25,0,1960,2056019
672573971,1,20,36,710,919655
672634210,1,5,17,273,121230
672743136,1,39,2,2132,1911976
672895367,1,28,27,1093,801927
673063346,1,38,8,992,1112524
673177765,1,22,44,445,469850
673519309,1,19,10,1179,1403844
673686902,1,29,44,460,222305
673808120,1,15,11,2718,2588735
673894174,1,4,9,1320,1448741
674437980,1,8,3,2679,2613508
674524516,1,12,17,1031,792870
675068339,1,24,12,2851,2220902
675383174,1,17,3,3242,3112152
677273061,1,16,8,1718,1684012
680619209,1,37,23,429,469019
682968871,1,21,45,523,84787
685027931,1,30,45,914,164908
685803802,1,11,5,367,478468
685973349,1,31,6,1851,1303263
686125761,1,20,37,0,190231
686494045,1,13,45,367,142541
686599752,1,36,22,1664,1197856
686612846,1,39,3,1164,937946
687038126,1,25,1,1851,1944461
687542062,1,29,45,296,52649
687554875,1,38,9,578,686271
687668235,1,15,12,2078,1946237
687694435,1,19,11,1296,1522893
687754494,1,3,0,3000,3180065
688072879,1,5,18,953,802096
688297883,1,22,45,554,574379
688324416,1,28,28,2101,1808997
688613419,1,23,27,1773,1948886
688927973,1,8,4,2640,2580104
689329337,1,4,10,875,997031
690503439,1,24,13,3132,2499878
690589584,1,12,18,1164,928291
691448305,1,17,4,3914,3778288
693341612,1,16,9,2562,2525042
695419072,1,37,24,203,253248
698718961,1,21,46,492,53190
700148204,1,30,46,1554,808613
700466038,1,31,7,1804,1256322
700608923,1,11,6,671,779788
701087713,1,36,23,1156,693630
701100799,1,39,4,1523,1293106
701299574,1,3,1,1273,1451700
701554265,1,20,38,250,455860
701843241,1,25,2,1195,1288639
701869536,1,28,29,1000,705813
701929207,1,13,46,437,205322
702244444,1,5,19,804,653359
702337496,1,29,46,429,177275
702473106,1,23,28,382,559323
702788220,1,15,13,2210,2085774
702983346,1,38,10,484,602736
703129523,1,19,12,1062,1289631
703418533,1,24,14,1742,1108707
703732722,1,22,46,46,71719
704134487,1,4,11,898,1024881
704694497,1,8,5,2734,2684588
705026161,1,18,0,4648,4722841
705394722,1,12,19,1101,864446
705623297,1,17,5,2773,2636462
707513311,1,16,10,914,880733
710539727,1,37,25,359,412985
713838922,1,21,47,968,532970
714974149,1,30,47,882,126735
715106267,1,18,1,656,724872
715583584,1,31,8,1937,1389473
715898448,1,39,5,2289,2067317
716018174,1,15,14,937,807273
716104687,1,3,2,1015,1194312
716333491,1,25,3,1164,1255462
716419299,1,13,47,406,177176
716674367,1,20,39,351,559143
716996387,1,19,13,570,801440
717154358,1,29,47,453,213239
717278313,1,9,0,1718,1651066
717304642,1,28,30,1359,1062794
717467674,1,36,24,1820,1354821
717480622,1,38,11,359,475002
717679564,1,5,20,414,256456
717940927,1,11,7,2023,2136838
718313786,1,4,12,882,1005771
718538233,1,23,29,687,866605
718885797,1,10,0,2640,2441543
719168096,1,22,47,414,433218
720113689,1,24,15,3710,3078750
720199559,1,12,20,984,749173
721373230,1,8,6,3507,3447226
722948552,1,17,6,4500,4365080
723893695,1,16,11,2882,2846331
725652364,1,37,26,109,158414
728405355,1,21,48,796,357168
729975630,1,18,2,718,788647
730076578,1,39,6,1023,800115
730391526,1,31,9,937,384094
731018289,1,30,48,921,170844
731138585,1,15,15,1984,1857995
731539823,1,3,3,1148,1323424
731653925,1,38,12,421,538900
731857667,1,13,48,476,248331
731956336,1,29,48,1117,868508
732109429,1,11,8,1210,1323138
732414314,1,23,30,289,483965
732578308,1,36,25,1093,617393
732739494,1,19,14,890,1114840
733028620,1,25,4,1921,2009321
733054499,1,20,40,781,986121
733114892,1,5,21,898,742551
733343294,1,9,1,3234,3169144
733369758,1,28,31,1953,1659120
733658771,1,24,16,1476,842573
733684471,1,10,1,3078,2872450
733973208,1,22,48,250,273126
734374978,1,4,13,1007,1132540
734918449,1,8,7,2218,2156468
735004943,1,12,21,1218,973810
735548671,1,17,7,2406,2264209
737753802,1,16,12,1093,1055057
741409683,1,37,27,156,212628
743449299,1,21,49,695,260527
744394747,1,18,3,1109,1185217
744566771,1,39,7,1242,1017775
744878956,1,31,10,1015,465965
745313419,1,15,16,796,665641
745969261,1,11,9,945,1058019
746344369,1,13,49,351,125684
746447038,1,29,49,445,200658
746460011,1,30,49,914,159482
746606338,1,10,2,812,607398
746659904,1,3,4,1171,1347221
746771793,1,38,13,1117,1234924
747203453,1,23,31,382,563114
747229586,1,19,15,414,644014
747518548,1,9,2,1742,1672542
748025320,1,36,26,1109,646861
748181660,1,20,41,773,977430
748463325,1,22,49,148,165593
748489891,1,28,32,1242,943346
748864857,1,5,22,679,519992
749408897,1,24,17,3171,2538042
749494821,1,12,22,750,513216
750041538,1,25,5,3546,3637222
750125100,1,4,14,1281,1406119
750353458,1,8,8,3562,3497776
750668758,1,17,8,3250,3116526
755393956,1,16,13,2789,2753566
755963989,1,37,28,179,220029
759199377,1,21,50,531,96541
759829874,1,18,4,1226,1300012
760118789,1,15,17,1062,931958
760459825,1,11,10,1093,1204683
760937498,1,29,50,476,238566
760950748,1,31,11,1773,1217455
761096837,1,10,3,1093,894761
761149624,1,13,50,265,39645
761573943,1,39,8,2445,2219355
761780098,1,3,5,1742,1916589
761891603,1,38,14,390,503181
762041180,1,20,42,148,351927
762564687,1,30,50,1296,542651
762638741,1,23,32,304,479479
762664466,1,19,16,70,297624
762826720,1,36,27,1546,1081074
763268584,1,33,0,3601,3777918
763585006,1,22,50,54,80252
763931900,1,28,33,703,408802
764214009,1,24,18,2671,2038042
764614952,1,5,23,960,805130
764929931,1,12,23,843,604576
765158690,1,8,9,4046,3982686
765875276,1,4,15,1570,1695348
766103911,1,25,6,4265,4353997
767048915,1,17,9,5421,5285745
767363701,1,9,3,6273,6205186
769884072,1,16,14,1718,1678726
770693325,1,37,29,164,207207
774326085,1,21,51,484,39885
775124220,1,39,9,1242,1018491
775264799,1,18,5,1257,1328706
775553814,1,33,1,1554,1736910
775868937,1,15,18,1015,885242
775954802,1,13,51,515,290804
776270162,1,3,6,1226,1398850
776420462,1,38,15,734,844540
776532108,1,11,11,1617,1726735
776682642,1,29,51,562,319648
777008525,1,30,51,882,137683
777128829,1,23,33,679,855677
777324205,1,31,12,2140,1590882
777443850,1,25,7,1382,1475196
777469791,1,10,4,2796,2595851
777949852,1,36,28,1117,649508
778388582,1,22,51,390,415078
778414861,1,20,43,671,877763
778704117,1,24,19,2960,2319547
779018957,1,8,10,2875,2811573
779334292,1,17,10,2718,2586617
779360162,1,28,34,1632,1337064
779675136,1,19,17,1281,1511413
779963804,1,9,4,3554,3484976
780050021,1,5,24,992,837471
780995331,1,12,24,1406,1169966
781310355,1,4,16,1468,1591364
784374160,1,16,15,1476,1444677
786758455,1,37,30,460,494850
788809634,1,21,52,656,214582
789609158,1,39,10,1257,1035681
790129988,1,3,7,976,1148897
790358743,1,15,19,992,867206
790556773,1,31,13,835,291507
790674098,1,33,2,1039,1217508
790700085,1,18,6,1101,1170233
791015062,1,11,12,1562,1672684
791179910,1,29,52,562,324698
791192881,1,38,16,492,601304
791303935,1,25,8,1140,1233678
791814199,1,32,0,1507,789561
791933941,1,23,34,718,895148
792019837,1,13,52,843,621438
792248549,1,22,52,156,181260
792275102,1,26,0,3234,2846382
792564275,1,24,20,2703,2067821
792589912,1,10,5,3031,2833150
792911469,1,20,44,242,444653
793077147,1,30,52,1335,589088
793219932,1,2,0,3804,3339277
793373781,1,36,29,1382,909365
793509274,1,17,11,2679,2542829
794171879,1,28,35,2296,2000303
794225186,1,5,25,765,610173
794453941,1,9,5,3429,3357926
794825793,1,19,18,1203,1427691
795084084,1,8,11,3164,3103232
795485165,1,4,17,726,852102
796115210,1,12,25,750,508585
800439315,1,16,16,1648,1608441
802197957,1,37,31,148,195638
803621799,1,21,53,507,65839
804620377,1,3,8,1039,1217815
804732242,1,39,11,867,638597
805164017,1,15,20,1234,1108325
805190130,1,11,13,1421,1536550
805658462,1,29,53,507,256395
805794187,1,33,3,1203,1380113
806165692,1,26,1,2562,2174494
806304312,1,31,14,1039,492894
806424364,1,24,21,1875,1241009
806618903,1,30,53,804,49109
806936803,1,40,0,3140,3116299
807080242,1,27,0,2593,2176559
807139974,1,13,53,328,100969
807249153,1,38,17,976,1094297
807369093,1,23,35,351,525629
807395218,1,18,7,2109,2185698
