sim_time_us,node_id,event,peer,detail
681697512,39,EOL,0x0026,
684368339,4,CELL_ALLOC,0x0003,slot=10 ch=9 dir=Receive
684382492,4,SUCCESS,0x0003,
684552022,3,CELL_ALLOC,0x0004,slot=10 ch=9 dir=Transmit
686668347,14,ADD,0x0001,
687008920,8,LIST,0x0007,
687052970,7,EOL,0x0008,
697055525,7,ADD,0x0006,
700878375,18,LIST,0x0013,
701370969,18,LIST,0x000a,
702322758,19,EOL,0x0012,
702952488,10,EOL,0x0012,
703176563,18,ADD,0x0013,
703591886,19,CELL_ALLOC,0x0012,slot=3 ch=10 dir=Receive
703612782,19,SUCCESS,0x0012,
703767124,18,CELL_ALLOC,0x0013,slot=3 ch=10 dir=Transmit
704839786,9,LIST,0x0011,
705108565,10,LIST,0x0012,
705157637,18,EOL,0x000a,
705472768,17,EOL,0x0009,
705597861,10,LIST,0x000b,
705638153,11,EOL,0x000a,
705827515,9,ADD,0x0011,
705830632,10,ADD,0x0012,
706103239,18,CELL_ALLOC,0x000a,slot=2 ch=6 dir=Receive
706103819,17,CELL_ALLOC,0x0009,slot=19 ch=0 dir=Receive
706117206,18,SUCCESS,0x000a,
706130980,17,SUCCESS,0x0009,
706287194,10,CELL_ALLOC,0x0012,slot=2 ch=6 dir=Transmit
706752479,9,CELL_ALLOC,0x0011,slot=19 ch=0 dir=Transmit
711457457,6,ADD,0x000e,
714582186,14,ADD,0x0001,
717488751,23,LIST,0x000f,
717608052,15,EOL,0x0017,
732535362,14,ADD,0x0001,
734938331,7,ADD,0x0006,
738262709,6,ADD,0x000e,
740744769,24,LIST,0x0019,
740917904,25,EOL,0x0018,
744629293,28,LIST,0x0014,
744669079,20,EOL,0x001c,
744760664,17,LIST,0x0019,
745013322,25,EOL,0x0011,
748095224,33,LIST,0x0019,
749289219,25,EOL,0x0021,
749458566,33,ADD,0x0019,
749661743,15,LIST,0x0010,
751317324,25,LIST,0x0021,
751470816,33,EOL,0x0019,
751778879,25,CELL_ALLOC,0x0021,slot=19 ch=7 dir=Receive
751793822,25,SUCCESS,0x0021,
751962371,33,CELL_ALLOC,0x0019,slot=19 ch=7 dir=Transmit
753203503,16,EOL,0x000f,
756187802,22,EOL,0x000e,
761941167,14,ADD,0x0001,
767908236,5,LIST,0x0004,
768007893,4,EOL,0x0005,
769434125,9,LIST,0x0008,
769583780,8,EOL,0x0009,
773742973,7,ADD,0x0006,
774744963,20,LIST,0x0013,
774938415,19,EOL,0x0014,
777652864,26,LIST,0x0012,
